name,ind_pets,size,ind_apartment,size_code,experience_level,disponibility_level
Herringbone,1,small,1,0,Begginer,Low
Bella palm,1,small,1,0,Experienced,High
Fabian Aralia,1,medium,1,1,Begginer,Low
Snake plant,0,small,1,0,Amateur,High
Parlor ivy,0,small,1,0,Amateur,Low
Bella palm,1,small,1,0,Experienced,High
Bamboo palm,1,medium,1,1,Experienced,High
Spineless yucca,0,big,0,2,Amateur,Medium
Giant Candelabra tree,0,very big,0,3,Experienced,Low
Chinese hibiscus,1,big,0,2,Amateur,High
Fernleaf Philodendron,0,big,0,2,Amateur,Low
Zz plant,0,medium,1,1,Amateur,Low
Maindenhair,1,medium,1,1,Begginer,Low
Baby rubber plant,1,small,1,0,Begginer,Low
White bird of paradise,1,medium,1,1,Amateur,Medium
Burro-tail,1,small,1,0,Experienced,Medium
Lacy tree-philodendron,0,medium,1,1,Amateur,Low
Elephant foot,1,medium,1,1,Experienced,Medium
Miniature fishtail,1,small,1,0,Experienced,High
Silver Lace Fern,1,small,1,0,Begginer,Low
Bronze Anthurium,0,small,1,0,Amateur,Low
Jade Plant,1,small,1,0,Experienced,Low
Dragon-tree Agave,0,big,0,2,Begginer,Low
Pink quill,1,small,1,0,Amateur,Medium
Splitleaf Philodendron,0,medium,1,1,Amateur,Low
Silver vase,1,medium,1,1,Amateur,Medium
African fern pine,1,big,0,2,Experienced,Low
Indian kale,0,big,0,2,Amateur,Low
Golden Barrel,1,big,0,2,Experienced,Low
Parrot palm,1,big,0,2,Experienced,High
Stromante,1,medium,1,1,Begginer,Low
Holly-fern,1,medium,1,1,Amateur,Low
Phrynium,1,medium,1,1,Begginer,Low
Tree-Cereus,1,big,0,2,Experienced,Low
Green prayer plant,1,small,1,0,Begginer,Low
Spider plant,0,small,1,0,Amateur,Medium
Monster cactus,1,big,0,2,Experienced,Low
Coral berry,1,medium,1,1,Amateur,Low
Golden Trumpet,0,big,0,2,Experienced,High
Birdnest fern,1,medium,1,1,Begginer,Low
Velvet Calathea,1,small,1,0,Begginer,Low
Lilliput Agave,0,small,1,0,Begginer,Low
Thread Agave,0,small,1,0,Begginer,Low
Blue Agave,0,big,0,2,Begginer,Low
