family,categories,origin,climate,img_url,name,water_category,venomous,ind_pets,size,ind_apartment,soil,sunlight,water_category_code,size_code,soil_code,sunlight_code,soil_diff,sunlight_diff,water_diff,experience_level_code,disponibility_level_code,kmeans_group,group_name
Marantaceae,Hanging,Brazil,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5657.jpg,Herringbone,weekly,0,1,small,1,Peat soils,Partial shade,2,0,1,2,medium,easy,hard,0.0,0.0,1,Companhia Segura
Arecaceae,Palm,Mexico,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5518.jpg,Bella palm,weekly,0,1,small,1,Sandy soils,Full sun,2,0,2,0,medium,hard,hard,1.0,1.0,2,Domínio Verde
Arecaceae,Palm,Mexico,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5518.jpg,Bella palm,weekly,0,1,small,1,Sandy soils,Full sun,2,0,2,0,medium,hard,hard,1.0,1.0,2,Domínio Verde
Araliaceae,Aralia,Asia,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5714.jpg,Fabian Aralia,weekly,0,1,medium,1,Loamy soils,Partial shade,2,1,0,2,easy,easy,hard,0.0,0.0,1,Companhia Segura
Liliaceae,Sansevieria,South Africa,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5735.jpg,Snake plant,weekly,1,0,small,1,Loamy soils,Full sun,2,0,0,0,easy,hard,hard,0.5,1.0,0,Miniaturas Tóxicas
Araceae,Philodendron,Central America,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5691.jpg,Parlor ivy,weekly,1,0,small,1,Silty and clay soils,Partial shade,2,0,3,2,hard,easy,hard,0.5,0.0,0,Miniaturas Tóxicas
Arecaceae,Palm,Mexico,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5519.jpg,Bella palm,weekly,0,1,small,1,Sandy soils,Full sun,2,0,2,0,medium,hard,hard,1.0,1.0,2,Domínio Verde
Arecaceae,Palm,Mexico,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5519.jpg,Bella palm,weekly,0,1,small,1,Sandy soils,Full sun,2,0,2,0,medium,hard,hard,1.0,1.0,2,Domínio Verde
Arecaceae,Palm,Mexico,Tropical,http://www.tropicopia.com/house-plant/thumbnails/5525.jpg,Bamboo palm,weekly,0,1,medium,1,Sandy soils,Full sun,2,1,2,0,medium,hard,hard,1.0,1.0,2,Domínio Verde
Liliaceae,Dracaena,Mexico,Subtropical,http://www.tropicopia.com/house-plant/thumbnails/5788.jpg,Spineless yucca,7-10 days,1,0,big,0,Loamy soils,Full sun,1,2,0,0,easy,hard,medium,0.5,0.5,4,Majestade Tóxica
